v4_0,calendar-years,Time,administrative-geography,Geography,week-number,Week,sex,Sex,age-groups,AgeGroups,registration-or-occurrence,RegistrationOrOccurrence
34,2026,2026,E12000009,South West,week-6,Week 6,male,Male,60-64,60-64,occurrences,Occurrences
79,2026,2026,E12000009,South West,week-6,Week 6,all,All,65-69,65-69,occurrences,Occurrences
295,2026,2026,E92000001,England,week-6,Week 6,female,Female,65-69,65-69,occurrences,Occurrences
94,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,male,Male,80-84,80-84,occurrences,Occurrences
112,2026,2026,E12000004,East Midlands,week-6,Week 6,female,Female,85-89,85-89,occurrences,Occurrences
992,2026,2026,E92000001,England,week-6,Week 6,female,Female,90-94,90-94,occurrences,Occurrences
88,2026,2026,E12000005,West Midlands,week-6,Week 6,male,Male,90-94,90-94,occurrences,Occurrences
61,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,all,All,95-99,95-99,occurrences,Occurrences
118,2026,2026,E12000006,East of England,week-6,Week 6,all,All,95-99,95-99,occurrences,Occurrences
31,2026,2026,E92000001,England,week-6,Week 6,male,Male,100+,100+,occurrences,Occurrences
2,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,male,Male,100+,100+,occurrences,Occurrences
119,2026,2026,E12000006,East of England,week-6,Week 6,all,All,70-74,70-74,registrations,Registrations
23,2026,2026,E12000001,North East,week-6,Week 6,female,Female,70-74,70-74,registrations,Registrations
128,2026,2026,E12000007,London,week-6,Week 6,all,All,75-79,75-79,registrations,Registrations
73,2026,2026,E12000004,East Midlands,week-6,Week 6,male,Male,70-74,70-74,registrations,Registrations
83,2026,2026,E12000004,East Midlands,week-6,Week 6,female,Female,75-79,75-79,registrations,Registrations
135,2026,2026,E12000002,North West,week-6,Week 6,male,Male,75-79,75-79,registrations,Registrations
76,2026,2026,E12000007,London,week-6,Week 6,male,Male,80-84,80-84,registrations,Registrations
280,2026,2026,E12000006,East of England,week-6,Week 6,all,All,85-89,85-89,registrations,Registrations
1081,2026,2026,E92000001,England,week-6,Week 6,female,Female,85-89,85-89,registrations,Registrations
51,2026,2026,E12000001,North East,week-6,Week 6,female,Female,85-89,85-89,registrations,Registrations
82,2026,2026,E12000009,South West,week-6,Week 6,female,Female,75-79,75-79,registrations,Registrations
104,2026,2026,E12000009,South West,week-6,Week 6,male,Male,75-79,75-79,registrations,Registrations
172,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,all,All,90-94,90-94,registrations,Registrations
128,2026,2026,W92000004,Wales,week-6,Week 6,all,All,80-84,80-84,registrations,Registrations
208,2026,2026,E12000006,East of England,week-6,Week 6,all,All,90-94,90-94,registrations,Registrations
71,2026,2026,W92000004,Wales,week-6,Week 6,female,Female,90-94,90-94,registrations,Registrations
126,2026,2026,E12000006,East of England,week-6,Week 6,female,Female,90-94,90-94,registrations,Registrations
75,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,male,Male,90-94,90-94,registrations,Registrations
51,2026,2026,E12000004,East Midlands,week-6,Week 6,male,Male,90-94,90-94,registrations,Registrations
194,2026,2026,E12000004,East Midlands,week-6,Week 6,all,All,80-84,80-84,registrations,Registrations
246,2026,2026,E12000009,South West,week-6,Week 6,all,All,80-84,80-84,registrations,Registrations
53,2026,2026,E12000007,London,week-6,Week 6,male,Male,90-94,90-94,registrations,Registrations
50,2026,2026,W92000004,Wales,week-6,Week 6,male,Male,90-94,90-94,registrations,Registrations
71,2026,2026,E12000009,South West,week-6,Week 6,female,Female,95-99,95-99,registrations,Registrations
46,2026,2026,E12000008,South East,week-6,Week 6,male,Male,95-99,95-99,registrations,Registrations
19,2026,2026,E12000007,London,week-6,Week 6,all,All,100+,100+,registrations,Registrations
5,2026,2026,W92000004,Wales,week-6,Week 6,female,Female,100+,100+,registrations,Registrations
8,2026,2026,E12000006,East of England,week-6,Week 6,male,Male,100+,100+,registrations,Registrations
29,2026,2026,E12000008,South East,week-6,Week 6,all,All,100+,100+,registrations,Registrations
7,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,female,Female,100+,100+,registrations,Registrations
14,2026,2026,E12000007,London,week-6,Week 6,female,Female,100+,100+,registrations,Registrations
1,2026,2026,W92000004,Wales,week-6,Week 6,male,Male,100+,100+,registrations,Registrations
0,2026,2026,E12000005,West Midlands,week-6,Week 6,male,Male,100+,100+,registrations,Registrations
1118,2026,2026,E12000004,East Midlands,week-6,Week 6,all,All,all-ages,All ages,registrations,Registrations
1440,2026,2026,E12000006,East of England,week-6,Week 6,all,All,all-ages,All ages,registrations,Registrations
